Participant_ID,Openness,Conscientiousness,Extroversion ,Agreeableness,Neuroticism,Reasoning (Brief)
21566,7,3,5,3,8,"""People watching"", anti-religion ; uses substances for pain ; social but cynical ; high distress (""chronic pain"", ""terrifying"")."
71586,9,8,2,9,5,"Fine art painter/poetry ; disciplined (""consistent income"") ; introvert/needs solitude ; gentle/conflict-averse (""hate conflict"")."
23105,6,7,9,9,6,"Fashion/Aesthetics ; planning graduation look ; high energy (""going club"", ""yass"") ; reactive to minor stress (""glasses cracked"")."
91981,8,9,6,9,2,"AI architecture interest; ""super clean"", ""organize"" ; professional/polite ; excited/optimistic about career."
44256,6,8,6,9,2,"Crypto learning; ""researching"", ""keep pushing"" ; family-oriented ; motivational language (""victory"", ""fight"")."
26586,8,8,5,9,5,"Jazz/Pottery/Travel ; finance job (""grind"") ; calm social demeanor ; uses ""quiet"" to manage city stress."
83111,2,5,5,2,10,"Fixated on conflict ; work stress ; negative social interactions (""betrayed"") ; extreme distress (""suffocating"", ""cry"")."
29239,7,8,5,6,9,"Stand-up comedy/Politics ; provider (""support 4 kids"") ; stage fright but performs ; overwhelmed (""mind is soup"")."
29937,8,9,2,6,2,"Restoration projects/Languages ; disciplined (""documenting"") ; prefers solitude (""loneliness is a blessing"") ; calm."
98860,7,9,6,9,5,"Art/Stocks; ""prioritize"", ""get er done"" ; social with family ; feels ""overwhelmed"" by responsibility but copes."
46509,6,5,2,3,6,"Anime interests ; routine chores ; anti-social (""why talk to me?"") ; moody/irritable (""negative mindset"")."
41227,2,2,5,8,9,"Rigid food preferences (""bland""); ""guilty for spending"" ; social but anxious ; high shame/nervousness."
32062,5,6,3,8,7,"Reading mysteries; ""grind"", ""working on it"" ; brief social interaction ; frustrated/struggling."
32418,6,6,6,4,3,"Crypto/Fitness optimization; ""workout"", ""get faster"" ; energetic slang (""nomnom"") ; demanding/blunt."
46188,6,8,8,9,3,"""Eye-opening"" activities; ""managing"", ""routines""; ""church"", ""outdoors"" ; highly appreciative/positive."
65180,6,8,7,3,6,"Copywriting/Self-help books ; goal-oriented ; assertive (""real men show off"") ; conflict in marriage (""she should deal"")."
81053,7,9,7,4,4,"Highly goal-oriented (""write it down... read every morning"") ; interested in ""law of assumption""/self-help ; defends ""showing off"" (Tate brothers) ; confident but admits loneliness regarding interests."
95066,10,5,4,10,1,"Poetic/Abstract (""softest footprints""); ""less hard on self"" ; quiet connection ; extreme gentleness/grace."
12178,8,8,5,4,6,"Researching chemicals/politics; ""cite sources"", ""double check"" ; online debates ; worried about toxins/cancer."
77117,8,7,5,8,6,"Global issues/Mysteries; ""solutions"", ""mitigate"" ; polite/formal ; worries about ecosystem/war."
63092,5,8,8,9,6,"Vacation planning; ""pay slip"", ""prioritize health""; ""lovely family"" ; worries about health/stress."
11492,8,9,7,10,2,"Philosophical (""temporary world""); ""strive"", ""efforts""; ""helped many people"" ; extremely kind/peaceful."
38957,8,8,6,9,7,"Travel culture/Food; ""managing"", ""planning"" ; family-focused; ""fatigued"", ""never ends"", ""worrying""."
61444,8,6,8,9,2,"3D printing/Travel ; spontaneous but prepares; ""skydiving"", ""gym"" ; enthusiastic/friendly."
50861,3,8,2,6,1,"Routine gym; ""20 years"", ""routine""; ""solo"", ""invisible"" ; relaxed/unbothered."
41384,5,2,4,0,8,"Manga lore; ""bored"", ""killing time"" ; hostile (""tool"", ""shut up"") ; angry/reactive."
84409,5,5,6,8,6,"Psychology questions/Reality TV; ""goals"" but ""relax"" ; social dinners ; focused on depression/breakups."
33270,7,8,5,9,5,"Fanfiction/Obsessions; ""thrive off routines""; ""concert buddies""; ""dread commute"", autistic burnout implied."
38794,6,9,7,8,4,"Tech projects/Classic style; ""line manage"", ""onboarding"" ; wants to date/socialize ; polite/nervous."
23429,6,8,7,10,1,"Gardening/Nature; ""grounded"", ""step by step""; ""surround with people""; ""joyous moments"", extremely stable."
22826,3,2,4,3,6,"Basic interests (beer/Oasis); ""get drunk"", ""hangover"" ; dismissive; irritable/bored."
89703,5,7,5,9,6,"Metal music/meditation; ""tidying"", ""cooking""; ""appreciate"" ; uses tools to manage anxiety (""thunderstorm"")."
41788,8,5,3,6,8,"Alternative comedy/Critique; ""skint"", ""pottering""; ""friendless/withdrawn"" ; high depression/loneliness."
39320,5,8,3,8,8,"Introspection; ""10000 steps"" routine; ""social anxiety"", ""usually alone""; ""trapped"", ""overthinking""."
65534,5,5,2,9,6,"Gaming/Simple pleasures; ""chores"" (procrastinates); ""shy"", ""solo""; ""anxiety"", ""grind of daily life""."
33211,8,6,6,8,2,Film scores/Music analysis ; freelance work ; concerts/golf ; engaging/relaxed.
49157,3,9,3,5,8,"Racing/Cartoons; ""feed kids"", ""no breaks"" ; survival focused; ""stressed"", ""bummer"", financial pressure."
50862,5,8,6,9,2,"Self-discovery; ""diet program"", ""planning""; ""enjoying company""; ""delighted"", stable."
35669,7,6,3,9,6,"Marine biology/Emo music; ""attending school""; ""not outgoing"" ; empathetic but relates to sadness."
55599,5,8,6,7,8,"Outdoor activities ; parenting/safety ; chats about comedy ; high health anxiety (""kidney infection"")."
30122,8,6,4,9,8,"Philosophy/Documentaries; ""stay busy"" (OCD management); ""don't go out""; ""existential crisis""."
16234,5,8,3,5,9,"Wants change/travel; ""house clean"", ""planning move""; ""wants peace"", ""avoid neighbours""; ""hopeless"", ""can't cope""."
99496,6,9,6,8,6,"""Deep thinker"", sports; ""excel"", ""focused""; ""competitive""; ""overanalyse"", ""depressed""."
46711,3,9,1,3,2,"Train museum interest; ""plan super far in advance"", ""organized""; ""travel alone""; ""stubborn""."
67900,4,5,1,4,10,"""Wish I was a bird"" (escapism); ""work/errands""; ""no fun""; ""exhausted"", ""relentless misery""."
17304,5,9,8,9,2,"Horror movies/Cooking; ""mother of house"", ""cleaning""; ""family gathering""; ""comfortable""."
48354,8,7,5,8,8,"Dystopian novels/Philosophy; ""healthy lifestyle""; ""social anxiety""; ""worry about worst case""."
94659,8,5,2,9,8,"Theatre/Horror/History ; financial struggles; ""introvert"", ""happy alone""; ""grief"", ""depression""."
47804,6,9,5,9,5,"Cooking experiments; ""degree"", ""lab assistant""; ""spouse""; ""stressful job hunt""."
26627,4,9,6,9,8,"Shopping/Pets; ""housework routine"", ""paranoid"" ; loves husband; ""climbing walls"", ""stress""."
54409,8,3,8,4,6,"Surreal humor/Existentialism; ""random"", ""bored"" ; aggressive joking ; dread disguised as humor."
71591,5,7,8,3,2,"Crypto/Skydiving; ""making bucks""; ""festivities"" ; judgmental (""people too soft"", ""trashy"")."
63854,8,6,7,8,7,"True crime analysis; ""work/commute""; ""best friend sister""; ""creeped out"", ""anxious""."
70424,6,3,5,6,8,"Romance/Fantasy; ""boring"", ""chilling"" ; wants friends; ""avoid judgment"", ""worry""."
43118,5,7,5,8,6,"Gaming/Halloween; ""pay bills"", ""regulate kids""; ""squad""; ""hard juggling"", ""need unity""."
49061,10,7,5,5,8,"Literary analysis/Philosophy; ""writing"", ""hiring help""; ""travelled world""; ""glitches"", ""MS"", ""regret""."
62828,6,9,9,9,2,"Sports strategy; ""signing players"", ""training"" ; team leadership; ""positive driven"", ""winning""."
37559,8,9,6,4,2,"Writing fantasy/Tech; ""paying debt"", ""discipline""; ""pirate games""; ""smashed depression"", confident."
69820,6,5,6,8,10,"Travel/Music ; recovery attempts; ""clubbing"" (past); ""addiction"", ""trauma"", ""self-loathing""."
41919,3,2,5,3,7,"Focus on safety/crime; ""forgot phone"", ""gave up"" ; aggressive questions; ""scared""."
53025,5,8,4,8,6,"Gaming/Music; ""regular breaks"", ""improve self""; ""isolating""; ""exhausting"", ""pressure""."
59088,8,9,6,9,2,"ASL/Horror analysis; ""certifications"", ""placement""; ""fun aunt""; ""awesome"", ""excited""."
37239,4,8,9,9,2,"Sports/Music; ""cleaning"", ""schedule""; ""party"", ""team""; ""think positively""."
71920,8,7,6,4,6,"Politics/Coding ; learning for profit ; assertive discussion; critical (""sugarcoating""), ""doubt""."
87091,7,6,5,6,8,"Societal critique/Environment; ""action needed""; ""strong leader""; ""depression"", ""suicide""."
18724,5,8,3,8,2,"Movies/Mysteries; ""workout"", ""routine""; ""homebody""; ""sane"", ""good""."
40377,9,8,6,9,2,"Cuisine/Jazz/Travel; ""gardening"", ""moving abroad""; ""friends""; ""enjoy the ride""."
94161,5,3,2,6,5,"Tech/Gaming; ""just relaxing""; ""solo"", ""mute comms""; ""flustered""."
63396,7,6,8,2,6,"Politics/Film critique ; gaming rank; ""yelling"", opinionated ; judgmental (""idiots"", ""disgusting"")."
37703,6,9,8,9,5,"Teaching/Theatre; ""planning trips"", ""booking""; ""public speaking"" ; worried about dog."
87842,6,3,6,6,2,"Fantasy lit/Nature; ""go with flow"", ""forgot oil"" ; pub culture; ""fine and dandy""."
43294,5,6,6,8,6,"Cooking/Self-improvement; ""make effort""; ""sociable""; ""overthinking"", ""rut""."
54761,10,6,6,8,2,"Museums/Science/Sociology; ""climbing community""; ""fascinating"" ; intellectual curiosity."
50895,8,7,5,9,1,"Experimental baking; ""already decided""; solo baking; ""yummy"", ""enjoyed""."
