Participant_ID,Openness,Conscientiousness,Extroversion,Agreeableness,Neuroticism,Reasoning (Brief)
33270,5,6,5,8,5,Autistic (thrives on routine); fanfiction/concerts; dreads work/drama.
35669,6,6,3,9,2,Niche interests (marine bio); empathetic to sad bot; introverted/calm.
37239,4,8,8,9,3,Busy parent/sports schedule; upbeat/supportive language; community focused.
37559,9,8,8,3,1,"Writing fantasy book; aggressive motivational style; very confident (""you will"")."
37703,6,9,8,9,4,Long-term teacher; planning trips; caring tone towards family/pets.
38794,6,8,7,8,4,Career focused (automation); active social life; nervous about dating.
38957,8,8,6,8,7,"Cultural travel interests; ""unrested mind""; overwhelmed by work/life balance."
39320,2,6,2,3,5,"Brief/closed answers; routine walking; feeling ""trapped"" in conversation."
39756,6,7,2,7,8,Anxious/ruminating; school pressure; horror fan; socially awkward.
40326,9,8,3,4,6,"Artist/Psychology student; eclectic tastes; critical of bot's ""bleak"" tone."
40358,5,4,6,3,5,Office gossip; cynical humor; confronts bot on reality; reality TV fan.
40377,8,7,6,6,3,Cooking diverse cuisines; travel; gardening; stable but probing questions.
40570,9,5,5,5,6,Deep sci-fi/music analysis; cynical about modern media; performed despite nerves.
41227,2,3,2,7,9,Food aversion (bland only); shame/guilt over spending; social anxiety.
41384,3,2,2,0,8,"Aggressive interrogation; name-calling (""beg,"" ""weirdo""); obsessed with manga lore."
41788,8,4,2,6,8,"Niche comedy; feels friendless/lame; dating anxiety; financial stress (""skint"")."
41919,5,2,5,4,6,Disorganized (lost phone); fixation on crime/violence; financial worry.
43118,5,8,6,8,5,Family priority; work/life balance stress; desires global unity; gaming squad.
43294,5,6,6,8,5,Supportive tone; coping with stress via walks; overthinking; polite.
44256,6,8,7,9,2,"""Vibrational"" concepts; investment research; high resilience/motivation language."
46188,6,8,6,8,2,Poetic descriptions; organized (moving house); sees challenges as rewards.
46509,6,6,3,4,5,"Anime/cooking; defensive (""why are you talking to me""); annoyed by negativity."
46711,5,9,1,4,2,"Extremely organized; prefers solo travel; ""eat to live""; indifferent to others."
46796,7,6,6,6,5,Creative (digital art); cynical humor; work satisfaction; financial complaints.
47804,5,7,5,8,5,Job hunting; specific career plan; sharing recipes; polite/thankful.
48354,8,7,4,8,8,Dystopian literature; social media fatigue; high anxiety/catastrophizing.
49061,10,6,2,7,8,Professional writer; deep literary analysis; philosophical; physical health struggles.
49157,2,9,5,5,7,Busy parent; transactional (doing surveys); impatient/stressed.
50861,2,8,5,8,1,"Short, agreeable answers; strict 20-year gym routine; sleeps well."
50862,6,9,7,9,2,Diet/project focus; energized language; very polite and social.
50895,8,6,6,9,2,Experimental baking; fruit picking; very agreeable and polite.
53025,5,6,3,8,6,Lonely/isolated by remote work; grateful for connection; tries to motivate self.
53958,8,6,6,3,2,"Game dev; direct/blunt language (""whiney""); confident/proactive mindset."
54165,6,6,2,5,9,"""Queen of overthinking""; fearful of confrontation; housing stress; history facts."
54409,8,2,8,3,6,"Chaotic/caps lock; weird theories (""4 ears""); confrontational/aggressive humor."
54761,9,6,6,8,2,"Intellectual curiosity (museums, history, colonialism); engaging; stable."
55599,5,7,6,6,8,Health anxiety (kidneys); frustrated with doctors; diligent with kids' activities.
59088,7,8,6,9,5,Unpaid placement/loans; career planning; learning ASL; very friendly.
59741,7,3,6,4,5,"Fantasy reading; ""mood reader""; impatient/casual slang (""za za"")."
61444,8,6,9,9,2,"3D printing/travel; high energy (""Let's go!""); invites bot to activities."
62828,6,8,8,9,3,"Team sports leadership; mental health focus; ""never give up""; very social."
63092,5,8,7,9,5,Surprising family; working hard; drained by work but prioritizes family.
63396,5,6,8,2,7,"Aggressive political rants; ""woke culture""; uses caps lock/mocking laughter."
63854,8,6,5,6,7,True crime obsession; grief; resentful of father; close to sister.
65180,5,6,6,3,7,Marketing metrics; marriage breakdown/divorce; blaming spouse; unhappy.
65534,5,6,2,8,5,"""Blah"" feeling; finding joy in mundane; shy/solo gamer; polite."
65978,6,3,2,8,8,"Gaming addiction (""sunk cost""); social anxiety; loves ""brave"" cute characters."
67900,3,7,1,5,9,"""Just existing""; exhausted/burnout; hopelessness; fantasies of escape."
69820,6,5,4,8,10,Recovering addict; severe trauma/PTSD; high shame; desperate for connection.
70424,5,3,2,4,7,"Avoidant; believes everyone is ""fake""; fear of judgment; bored."
71586,9,8,3,8,5,Artist/designer; balances creativity with parenting; prefers introversion.
71591,8,6,8,4,4,"Skydiving/crypto; adventurous; rants about ""soft"" people; values friends."
71920,8,6,6,4,5,Coding interest; interrogates bot on politics; confrontational but curious.
72945,8,6,3,4,5,"Anime analysis; cuts off ""toxic"" people; cynical; prefers small circle."
74568,8,8,7,8,2,Expecting parent; renovation planning; confident advice giving; optimistic.
76134,6,8,6,5,7,Fashion focused; anxiety about AI replacing jobs; critical of wealth gap.
77117,8,6,5,8,6,Wide range of topics (science/religion); polite; worried about world issues.
81053,6,9,6,3,5,Tate/success mindset; material focus; disciplined goal setting; lonely.
82305,5,6,6,8,5,Gym/shopping routine; sweet drinks; relatable student worries; friendly.
83111,5,6,5,8,9,"Betrayal trauma; emotional despair (""wish it was a dream""); seeking solutions."
83220,8,7,6,6,3,Creative writing; investing; sarcastic humor; gaming strategies.
84409,5,5,2,6,6,Unadventurous; questions about helping depressed friends; detached.
87091,7,7,5,9,6,Social/environmental concern; empathetic; stressed by societal issues.
87842,5,4,6,8,2,"Laid back (""bowl of cherries""); fishing/pub; forgets car maintenance."
88009,8,7,2,6,5,K-pop/Literature fan; private person; stressed by house issues.
88147,6,9,8,8,7,"House build stress; resilient (""onwards and upwards""); party planning."
89703,6,7,5,9,2,"Cooking/meditation; very polite; ""take life a day at a time."""
91115,8,6,8,9,2,"Travel/trivia; optimistic (""lucky to be alive""); empathetic listener."
91981,8,9,6,9,2,Interested in AI architecture; organized; very supportive/polite.
92241,8,8,1,5,8,Neurodivergent; intellectualizes emotions; strict routine for control.
94161,5,3,3,6,5,"Gaming; weather affects mood; disorganized (""see what grabs me"")."
94659,8,6,2,8,8,Grief/depression; introverted; loves theatre/horror; financial regret.
95066,9,5,6,10,2,Poetic/abstract language; deep gratitude; very high agreeableness.
95835,6,3,5,4,5,"Cult films; cynical/rivalrous humor; disorganized (""late for everything"")."
98498,5,4,2,8,8,Social phobia; Christmas obsessed; anxious about crime/world.
98860,7,9,6,8,5,Work/family balance; leadership role; art appreciation; gives advice.
99496,7,8,6,8,2,Competitive sports; disciplined; supportive listener; seeks new challenges.
