Participant_ID,Openness,Conscientiousness,Extroversion,Agreeableness,Neuroticism,Reasoning (Brief)
11931864,8,6,3,6,8,"Musician; financial anxiety; ""wherever you go there you are""."
11932074,7,6,3,8,2,Pilot (sim); loves Dalmatians; quiet/polite; classic TV fan.
11932189,5,6,2,9,2,"Loves dogs (""cleaner than cats""); retail work; simple life."
11932374,6,8,2,9,2,Detailed cook; patient; quiet life; high agreeableness.
11932375,8,5,5,8,2,80s/90s pop fan; sci-fi/comedy; engaging conversationalist.
11932406,8,9,3,9,1,"Graphic designer; ""gifted school"" parent; highly organized/positive."
11932489,6,9,2,8,3,"Frugal (""saving money""); crafts/crochet; disciplined; introverted."
11932513,8,8,5,8,2,Fantasy football; tracks reading (Goodreads); organized/social.
11932694,8,8,3,9,2,"Dreams of farm life (""chickens/goats""); reading/gym; pleasant."
11934473,8,5,7,8,2,Adventurous eater (goat); kayaking/hiking; high energy.
11934547,8,6,3,9,2,Loves Halloween/Spooky; creative writer; polite/engaging.
11934574,6,8,2,9,2,Homemaker/crafter; cooking focus; very polite; quiet life.
11934591,6,8,8,8,2,Surfer/Golfer; country club lifestyle; wealthy/successful tone.
11935138,7,5,8,2,4,"Confrontational (""Don't say resonate""); aggressive questioning; active."
11935599,8,8,3,9,2,Reads Narnia to kids; thoughtful parent; quiet/polite.
11935789,6,10,2,8,3,"Obsessed with productivity (""urgent tasks""); disciplined; serious."
11936703,9,8,2,6,2,"Philosophical (""act of becoming""); deliberate/intense language."
11940020,8,8,8,8,2,"Entrepreneur (""restaurant business""); networking; energetic."
11940898,6,9,7,8,2,"Health conscious (probiotics); ""like to talk""; disciplined."
11941590,8,5,2,8,3,"Artist/Writer/Poet; ""office work""; introverted; polite."
12164954,8,7,3,8,2,"""Love driving""; observant of nature; relaxed/happy tone."
12165018,5,8,2,2,2,"Polarizing politics (""mass deportations""); business owner; blunt."
12165146,8,8,1,5,2,"Environmentalist (""invasive species""); eats roadkill deer; solitary."
12165229,5,10,8,9,1,"Large family organization; positive; ""compartmentalized"" stress."
12165240,1,2,1,1,9,"Hostile (""people are shitty""); financial anger; rude."
12166182,6,8,3,8,3,Gig worker (MTurk); flexible; polite/consistent; solitary.
12207478,8,7,3,8,2,Walker/Reader (Martin Amis); calm demeanor; disciplined.
12218235,9,8,3,8,2,Musician (post-rock); painter; disciplined learning; quiet.
12219352,8,9,3,9,3,"Graphic designer; sentimental (""priceless memories""); diligent."
12219557,6,8,7,8,2,Finance pro; club sports (tennis/golf); professional tone.
12219667,9,5,2,8,3,Curious about experimental writing; asks technical questions; quiet.
12220463,6,8,2,5,3,Forager (mushrooms); guarded/secretive; solitary.
