Participant_ID,Openness,Conscientiousness,Extroversion,Agreeableness,Neuroticism,Primary Evidence (Quote),Reasoning Summary
11913392,10,1,4,9,7,"""I am reading a book about the Beatles Yes, very much so Too many to choose one song What music do...""",Complex sentence structure and abstract vocabulary suggest Openness.
11914120,9,4,2,3,4,"""Sure, I've read a lot of Brandon Sanderson's books, they are just light easy to read stories Prob...""",Complex sentence structure and abstract vocabulary suggest Openness.
11931829,8,4,1,7,3,"""Pixel art and scripting""",Complex sentence structure and abstract vocabulary suggest Openness.
11931864,8,8,5,5,3,"""so focusing on me and my interest is my interest is in you""",Complex sentence structure and abstract vocabulary suggest Openness.
11932074,2,5,3,10,2,"""good thanks and you Its going good, I have to go to work this afternoon""",Politeness and agreement words suggest Agreeableness.
11932189,1,9,10,10,5,"""Yes, a great time So am I We will, deffinetely""",Social words and positive energy indicate Extroversion.
11932374,1,3,6,8,6,"""Yes, the aroma is quite nice now that you mention it""",Politeness and agreement words suggest Agreeableness.
11932375,4,1,7,10,5,"""Action, Comedy, and horror films Friday the 13th series is really scary Dracual is good too I pre...""",Politeness and agreement words suggest Agreeableness.
11932406,8,9,9,5,2,"""I love ""Idiot"" by Dostoyevsky and now watching this amazing new show ""Forg So many social issues ...""",Social words and positive energy indicate Extroversion.
11932489,6,10,3,4,3,"""Exactly I'm gonna finish the project I'm working on probably today""","Focus on work, duty, and order indicates Conscientiousness."
11932513,9,3,4,6,8,"""But I think there will be very high interest in the series""",Complex sentence structure and abstract vocabulary suggest Openness.
11932694,4,7,3,8,10,"""I am usually by myself but sometimes my husband comes with me to the gym""","Frequent use of first-person pronouns ('I', 'my') indicates self-focus/Neuroticism."
11934473,7,2,7,7,4,"""That sounds great, I love hiking, how long have you been doing it I used to kayak a lot, Im think...""",Social words and positive energy indicate Extroversion.
11934547,8,4,8,8,5,"""It's a tradition and we have extended family that often shows up as well making it great""",Social words and positive energy indicate Extroversion.
11934574,5,8,9,8,5,"""I worry too much that it wont taste good yes but my husband is very busy with work right now and ...""",Social words and positive energy indicate Extroversion.
11934591,9,6,5,2,6,"""I definitely listen to music but I like to play my own music on guitar as well""",Complex sentence structure and abstract vocabulary suggest Openness.
11935138,7,1,3,2,2,"""I like to read the gossip about how everyone thought they were crazy for trusting Rasputin ICP: B...""",Complex sentence structure and abstract vocabulary suggest Openness.
11935599,9,2,6,7,3,"""I read and listen to music""",Complex sentence structure and abstract vocabulary suggest Openness.
11935789,3,6,2,6,5,"""That sounds like a good idea""",Politeness and agreement words suggest Agreeableness.
11936703,8,3,4,3,7,"""I chose Spanish because it's the most common I think to learn as an American""",Complex sentence structure and abstract vocabulary suggest Openness.
11940020,2,9,5,9,3,"""I was kind of nervous but usually have good times at those""",Politeness and agreement words suggest Agreeableness.
11940898,1,6,9,6,10,"""If I'm not working, I ride my bike or walk in the park""","Frequent use of first-person pronouns ('I', 'my') indicates self-focus/Neuroticism."
11941590,4,9,7,7,9,"""I need my code before I can complete this""","Frequent use of first-person pronouns ('I', 'my') indicates self-focus/Neuroticism."
12164954,2,1,9,4,3,"""I go with my husband and we take our dog""",Social words and positive energy indicate Extroversion.
12165018,5,9,6,9,9,"""I hope I can work on my business some this weekend""","Frequent use of first-person pronouns ('I', 'my') indicates self-focus/Neuroticism."
12165146,2,1,3,3,3,"""I make it from wineberries that I picked over the summer""","Frequent use of first-person pronouns ('I', 'my') indicates self-focus/Neuroticism."
12165229,7,1,7,2,4,"""On top of moving we have to take down all our Christmas stuff down and put it back up at the new ...""",Social words and positive energy indicate Extroversion.
12165240,5,8,3,6,2,"""same stop asking me that no talking about you not me get off of me good every day should be sure ...""","Focus on work, duty, and order indicates Conscientiousness."
12166182,3,5,2,6,9,"""Yeah and I know my sister was bummed I am not there for Thanksgiving but I told her I should be t...""","Frequent use of first-person pronouns ('I', 'my') indicates self-focus/Neuroticism."
12207478,2,5,10,7,5,"""Yes, we will have a lot of fun We should take lots of photos Exactly""",Social words and positive energy indicate Extroversion.
12218235,10,8,2,7,9,"""If I like the song I might want to learn it I would like to learn some songs by Russian Circles""",Complex sentence structure and abstract vocabulary suggest Openness.
12219352,9,8,9,6,3,"""We will decorate Christmas tree and start Yes, we keep the ornaments kids made at school over the...""",Social words and positive energy indicate Extroversion.
12219557,6,10,3,1,4,"""Just working in the Office""","Focus on work, duty, and order indicates Conscientiousness."
12219667,10,2,1,4,1,"""what other techniques do writers commonly use did writers have draw their own illustrations and u...""",Complex sentence structure and abstract vocabulary suggest Openness.
12220463,1,3,2,4,7,"""I take some short local hikes, but I wouldn't call them adventures""","Frequent use of first-person pronouns ('I', 'my') indicates self-focus/Neuroticism."
